date,buy_price,sell_price
2017-07-31,36180,36360
2017-08-01,36140,36330
2017-08-02,36130,36320
2017-08-03,36140,36320
2017-08-04,36220,36400
2017-08-05,36170,36350
2017-08-06,36170,36350
2017-08-07,36170,36350
2017-08-08,36140,36320
2017-08-09,36160,36340
2017-08-10,36250,36430
2017-08-11,36360,36540
2017-08-12,36360,36550
2017-08-13,36360,36550
2017-08-14,36310,36490
2017-08-15,36220,36400
2017-08-16,36140,36320
2017-08-17,36250,36450
2017-08-18,36240,36420
2017-08-19,36330,36520
2017-08-20,36330,36520
2017-08-21,36300,36480
2017-08-22,36280,36460
2017-08-23,36240,36420
2017-08-24,36250,36430
2017-08-25,36220,36400
2017-08-26,36300,36490
2017-08-27,36300,36490
2017-08-28,36320,36500
2017-08-29,36530,36720
2017-08-30,36390,36580
2017-08-31,36370,36560
2017-09-01,36460,36650
2017-09-02,36490,36680
2017-09-03,36490,36680
2017-09-04,36600,36850
2017-09-05,36600,36800
2017-09-06,36870,37070
2017-09-07,36860,37060
2017-09-08,37110,37310
2017-09-09,37000,37200
2017-09-10,37000,37200
2017-09-11,36780,36980
2017-09-12,36540,36740
2017-09-13,36570,36760
2017-09-14,36510,36700
2017-09-15,36580,36780
2017-09-16,36590,36780
2017-09-17,36590,36780
2017-09-18,36610,36800
2017-09-19,36550,36740
2017-09-20,36610,36800
2017-09-21,36420,36610
2017-09-22,36480,36670
2017-09-23,36510,36700
2017-09-24,36510,36700
2017-09-25,36510,36700
2017-09-26,36570,36760
2017-09-27,36410,36600
2017-09-28,36400,36560
2017-09-29,36410,36580
2017-09-30,36410,36600
2017-10-01,36410,36600
2017-10-02,36300,36480
2017-10-03,36280,36460
2017-10-04,36370,36550
2017-10-05,36410,36590
2017-10-06,36350,36530
2017-10-07,36400,36580
2017-10-08,36400,36580
2017-10-09,36430,36610
2017-10-10,36470,36650
2017-10-11,36460,36640
2017-10-12,36510,36690
2017-10-13,36490,36670
2017-10-14,36560,36740
2017-10-15,36560,36740
2017-10-16,36500,36680
2017-10-17,36380,36560
2017-10-18,36330,36510
2017-10-19,36340,36520
2017-10-20,36340,36520
2017-10-21,36340,36520
2017-10-22,36340,36520
2017-10-23,36340,36520
2017-10-24,36320,36500
2017-10-25,36280,36460
2017-10-26,36310,36490
2017-10-27,36290,36470
2017-10-28,36340,36520
2017-10-29,36340,36520
2017-10-30,36320,36500
2017-10-31,36370,36550
2017-11-01,36450,36630
2017-11-02,36460,36640
2017-11-03,36440,36620
2017-11-04,36400,36580
2017-11-05,36400,36580
2017-11-06,36420,36600
2017-11-07,36480,36660
2017-11-08,36460,36640
2017-11-09,36470,36650
2017-11-10,36460,36640
2017-11-11,36400,36580
2017-11-12,36400,36580
2017-11-13,36420,36600
2017-11-14,36370,36550
2017-11-15,36440,36620
2017-11-16,36370,36550
2017-11-17,36390,36570
2017-11-18,36440,36620
2017-11-19,36440,36620
2017-11-20,36400,36580
2017-11-21,36380,36560
2017-11-22,36420,36600
2017-11-23,36420,36600
2017-11-24,36430,36610
2017-11-25,36420,36600
2017-11-26,36420,36600
2017-11-27,36420,36600
2017-11-28,36420,36600
2017-11-29,36420,36600
2017-11-30,36360,36540
2017-12-01,36310,36490
2017-12-02,36370,36550
2017-12-03,36370,36550
2017-12-04,36320,36500
2017-12-05,36340,36520
2017-12-06,36320,36500
2017-12-07,36240,36420
