date,buy_price,sell_price
2016-10-25,35510,35750
2016-10-26,35550,35780
2016-10-27,35550,35780
2016-10-28,35550,35780
2016-10-29,35610,35850
2016-10-30,35610,35850
2016-10-31,35590,35820
2016-11-01,35720,35950
2016-11-02,36200,36650
2016-11-03,35900,36400
2016-11-04,36050,36500
2016-11-05,36050,36550
2016-11-06,36050,36550
2016-11-07,35900,36300
2016-11-08,35900,36280
2016-11-09,36450,37100
2016-11-10,36150,36500
2016-11-11,35880,36150
2016-11-12,35450,35800
2016-11-13,35450,35800
2016-11-14,35700,35950
2016-11-15,35750,36000
2016-11-16,35750,36000
2016-11-17,35730,35960
2016-11-18,35600,35800
2016-11-19,35650,35850
2016-11-20,35650,35850
2016-11-21,35670,35850
2016-11-22,35720,35880
2016-11-23,35660,35820
2016-11-24,35430,35620
2016-11-25,35450,35630
2016-11-26,35510,35710
2016-11-27,35510,35710
2016-11-28,35630,35830
2016-11-29,35590,35790
2016-11-30,35620,35820
2016-12-01,35620,35820
2016-12-02,35950,36200
2016-12-03,36000,36300
2016-12-04,36000,36300
2016-12-05,36100,36350
2016-12-06,36250,36650
2016-12-07,36050,36450
2016-12-08,36080,36480
2016-12-09,35900,36300
2016-12-10,35850,36250
2016-12-11,35850,36250
2016-12-12,35940,36390
2016-12-13,36000,36500
2016-12-14,36100,36600
2016-12-15,35600,36200
2016-12-16,35550,36150
2016-12-17,35700,36300
2016-12-18,35700,36300
2016-12-19,35850,36500
2016-12-20,35830,36480
2016-12-21,35850,36500
2016-12-22,35580,36280
2016-12-23,35620,36320
2016-12-24,35760,36460
2016-12-25,35760,36460
2016-12-26,35620,36320
2016-12-27,35750,36450
2016-12-28,35670,36420
2016-12-29,35600,36400
2016-12-30,35730,36450
2016-12-31,35000,36100
2017-01-01,35000,36100
2017-01-02,35000,36100
2017-01-03,36000,36400
2017-01-04,36220,36520
2017-01-05,36350,36650
2017-01-06,36270,36570
2017-01-07,36340,36640
2017-01-08,36340,36640
2017-01-09,36320,36620
2017-01-10,36310,36610
2017-01-11,36320,36620
2017-01-12,36470,36770
2017-01-13,36420,36720
2017-01-14,36430,36730
2017-01-15,36430,36730
2017-01-16,36450,36750
2017-01-17,36450,36750
2017-01-18,36470,36770
2017-01-19,36470,36770
2017-01-20,36470,36770
2017-01-21,36470,36770
2017-01-22,36470,36770
2017-01-23,36370,36740
2017-01-24,36520,36920
2017-01-25,36100,36800
2017-01-26,36100,36800
2017-01-27,36100,36800
2017-01-28,36100,36800
2017-01-29,36100,36800
2017-01-30,36100,36800
2017-01-31,36100,36800
2017-02-01,36100,36800
2017-02-02,37430,37830
2017-02-03,37230,37630
2017-02-04,37250,37650
2017-02-05,37250,37650
2017-02-06,36550,37350
2017-02-07,36600,36950
2017-02-08,36770,37070
2017-02-09,36970,37270
2017-02-10,36720,37020
2017-02-11,36800,37100
2017-02-12,36800,37100
2017-02-13,36640,36940
2017-02-14,36660,36960
2017-02-15,36670,36970
2017-02-16,36770,37070
2017-02-17,36750,37050
2017-02-18,36690,36990
2017-02-19,36690,36990
2017-02-20,36700,36970
2017-02-21,36630,36930
2017-02-22,36680,36950
2017-02-23,36650,36920
2017-02-24,36750,37030
2017-02-25,36720,37020
2017-02-26,36720,37020
2017-02-27,36680,36950
2017-02-28,36650,36910
2017-03-01,36630,36900
2017-03-02,36650,36920
2017-03-03,36570,36820
2017-03-04,36630,36880
2017-03-05,36630,36880
2017-03-06,36560,36810
2017-03-07,36470,36740
2017-03-08,36400,36640
2017-03-09,36360,36610
2017-03-10,36330,36580
2017-03-11,36400,36650
2017-03-12,36400,36650
2017-03-13,36430,36680
2017-03-14,36400,36650
2017-03-15,36420,36670
2017-03-16,36550,36800
2017-03-17,36520,36770
2017-03-18,36510,36760
2017-03-19,36510,36760
2017-03-20,36490,36740
2017-03-21,36450,36650
2017-03-22,36520,36720
2017-03-23,36450,36650
2017-03-24,36430,36630
2017-03-25,36460,36660
2017-03-26,36460,36660
2017-03-27,36450,36650
2017-03-28,36440,36640
2017-03-29,36440,36640
2017-03-30,36400,36600
2017-03-31,36340,36540
2017-04-01,36350,36550
2017-04-02,36350,36550
2017-04-03,36320,36520
2017-04-04,36380,36580
2017-04-05,36340,36540
2017-04-06,36340,36540
2017-04-07,36400,36600
2017-04-08,36400,36600
2017-04-09,36400,36600
2017-04-10,36400,36600
2017-04-11,36400,36600
2017-04-12,36520,36720
2017-04-13,36690,36890
2017-04-14,36840,37040
2017-04-15,36840,37040
2017-04-16,36840,37040
2017-04-17,36840,37040
2017-04-18,36630,36880
2017-04-19,36570,36800
2017-04-20,36540,36760
2017-04-21,36650,36850
2017-04-22,36650,36880
2017-04-23,36650,36880
2017-04-24,36560,36760
2017-04-25,36530,36730
2017-04-26,36530,36730
2017-04-27,36530,36730
2017-04-28,36650,36850
2017-04-29,36630,36880
2017-04-30,36630,36880
2017-05-01,36630,36880
2017-05-02,36630,36880
2017-05-03,36520,36720
2017-05-04,36310,36540
2017-05-05,36430,36650
2017-05-06,36300,36630
2017-05-07,36300,36630
2017-05-08,36420,36620
2017-05-09,36400,36600
2017-05-10,36340,36540
2017-05-11,36330,36530
2017-05-12,36400,36600
2017-05-13,36400,36620
2017-05-14,36400,36620
2017-05-15,36420,36620
2017-05-16,36400,36600
2017-05-17,36430,36630
2017-05-18,36500,36700
2017-05-19,36500,36700
2017-05-20,36430,36630
2017-05-21,36430,36630
2017-05-22,36400,36600
2017-05-23,36380,36580
